@110000 [INFO] [CMPOBJ] : cmp = 1, rd_id =          0, rd_data = 00000101, wr_id =          0, wr_data = 00000101, wr_raw_id =          0, wr_raw_data = 00000101
@1690000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         49, rd_data = 10011001, wr_id =         49, wr_data = 10011001, wr_raw_id =         49, wr_raw_data = 10011001

@1710000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         50, rd_data = 01001111, wr_id =         50, wr_data = 01001111, wr_raw_id =         50, wr_raw_data = 01001111

@1730000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         51, rd_data = 01001001, wr_id =         51, wr_data = 01001001, wr_raw_id =         51, wr_raw_data = 01001001

@1770000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         52, rd_data = 00000110, wr_id =         52, wr_data = 00000110, wr_raw_id =         52, wr_raw_data = 00000110

@1790000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         53, rd_data = 01110101, wr_id =         53, wr_data = 01110101, wr_raw_id =         53, wr_raw_data = 01110101

@1810000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         54, rd_data = 00010011, wr_id =         54, wr_data = 00010011, wr_raw_id =         54, wr_raw_data = 00010011

@1830000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         55, rd_data = 11011000, wr_id =         55, wr_data = 11011000, wr_raw_id =         55, wr_raw_data = 11011000

@1850000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         56, rd_data = 01001101, wr_id =         56, wr_data = 01001101, wr_raw_id =         56, wr_raw_data = 01001101

@1930000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         57, rd_data = 10111011, wr_id =         57, wr_data = 10111011, wr_raw_id =         57, wr_raw_data = 10111011

@1970000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         58, rd_data = 00101101, wr_id =         58, wr_data = 00101101, wr_raw_id =         58, wr_raw_data = 00101101

@1990000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         59, rd_data = 01100000, wr_id =         59, wr_data = 01100000, wr_raw_id =         59, wr_raw_data = 01100000

@2010000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         60, rd_data = 01011010, wr_id =         60, wr_data = 01011010, wr_raw_id =         60, wr_raw_data = 01011010

@2050000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         61, rd_data = 01101110, wr_id =         61, wr_data = 01101110, wr_raw_id =         61, wr_raw_data = 01101110

@2070000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         62, rd_data = 11101111, wr_id =         62, wr_data = 11101111, wr_raw_id =         62, wr_raw_data = 11101111

@2110000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         63, rd_data = 01110100, wr_id =         63, wr_data = 01110100, wr_raw_id =         63, wr_raw_data = 01110100

@2130000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         64, rd_data = 00010111, wr_id =         64, wr_data = 00010111, wr_raw_id =         64, wr_raw_data = 00010111

@2230000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         65, rd_data = 10011000, wr_id =         65, wr_data = 10011000, wr_raw_id =         65, wr_raw_data = 10011000

