index =          25, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          26, s_cmp = 1, wr_data = 00101101, rd_data = 00101101 
index =          27, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          28, s_cmp = 1, wr_data = 00101110, rd_data = 00101110 
index =          29, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          30, s_cmp = 1, wr_data = 00101111, rd_data = 00101111 
index =          31, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 


@29092129000 [WARNING] cmp = 1; cmd_pkg_id =          20, wr_pkg_id =          10, rd_pkg_id =          10, word_address=   320 : 
index =           0, s_cmp = 1, wr_data = 01000000, rd_data = 01000000 
index =           1, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           2, s_cmp = 1, wr_data = 01000001, rd_data = 01000001 
index =           3, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           4, s_cmp = 1, wr_data = 01000010, rd_data = 01000010 
index =           5, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           6, s_cmp = 1, wr_data = 01000011, rd_data = 01000011 
index =           7, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           8, s_cmp = 1, wr_data = 01000100, rd_data = 01000100 
index =           9, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          10, s_cmp = 1, wr_data = 01000101, rd_data = 01000101 
index =          11, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          12, s_cmp = 1, wr_data = 01000110, rd_data = 01000110 
index =          13, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          14, s_cmp = 1, wr_data = 01000111, rd_data = 01000111 
index =          15, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          16, s_cmp = 1, wr_data = 01001000, rd_data = 01001000 
index =          17, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          18, s_cmp = 1, wr_data = 01001001, rd_data = 01001001 
index =          19, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          20, s_cmp = 1, wr_data = 01001010, rd_data = 01001010 
index =          21, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          22, s_cmp = 1, wr_data = 01001011, rd_data = 01001011 
index =          23, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          24, s_cmp = 1, wr_data = 01001100, rd_data = 01001100 
index =          25, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          26, s_cmp = 1, wr_data = 01001101, rd_data = 01001101 
index =          27, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          28, s_cmp = 1, wr_data = 01001110, rd_data = 01001110 
index =          29, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          30, s_cmp = 1, wr_data = 01001111, rd_data = 01001111 
index =          31, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 


@31736913000 [WARNING] cmp = 1; cmd_pkg_id =          22, wr_pkg_id =          11, rd_pkg_id =          11, word_address=   352 : 
index =           0, s_cmp = 1, wr_data = 01100000, rd_data = 01100000 
index =           1, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           2, s_cmp = 1, wr_data = 01100001, rd_data = 01100001 
index =           3, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           4, s_cmp = 1, wr_data = 01100010, rd_data = 01100010 
index =           5, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           6, s_cmp = 1, wr_data = 01100011, rd_data = 01100011 
index =           7, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           8, s_cmp = 1, wr_data = 01100100, rd_data = 01100100 
index =           9, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          10, s_cmp = 1, wr_data = 01100101, rd_data = 01100101 
index =          11, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          12, s_cmp = 1, wr_data = 01100110, rd_data = 01100110 
index =          13, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          14, s_cmp = 1, wr_data = 01100111, rd_data = 01100111 
index =          15, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          16, s_cmp = 1, wr_data = 01101000, rd_data = 01101000 
index =          17, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          18, s_cmp = 1, wr_data = 01101001, rd_data = 01101001 
index =          19, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          20, s_cmp = 1, wr_data = 01101010, rd_data = 01101010 
index =          21, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =          22, s_cmp = 1, wr_data = 01101011, rd_data = 01101011 
index =          23, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
